1,6f4f6bc3eb39294ac23323f9caef42da,46,2016-05-09T02:40:46.394+05:30,2016-05-09T02:41:32.921+05:30
2,7f8dd37f9a5e0c68af0eb86646ee3751,375,2016-05-09T02:08:34.058+05:30,2016-05-09T02:14:49.112+05:30
4,1d88caf4225c5ae1b7f3c4ff9d02e97f,304,2016-05-09T02:16:31.531+05:30,2016-05-09T02:21:49.805+05:30
5,1329363d8968f7538e5e62132e7f5df9,454,2016-05-09T02:45:32.434+05:30,2016-05-09T02:53:09.453+05:30
7,91cd0ebfdac87ddde538e4fcf7e83509,152,2016-05-09T02:11:17.670+05:30,2016-05-09T02:13:50.141+05:30
8,9251fc9cbb0d2005f2b267c8eff7172d,8,2016-05-09T02:38:50.209+05:30,2016-05-09T02:38:59.131+05:30
10,8d9208846a06edc09f1f2829492b15fb,2243,2016-05-09T02:03:19.319+05:30,2016-05-09T02:40:42.597+05:30
11,553036cd730bf23828304c21b5ece9db,15,2016-05-09T02:12:41.486+05:30,2016-05-09T02:12:56.513+05:30
12,5e8f43ce9bf4e019a80cb6367d1bb369,108,2016-05-09T02:08:14.068+05:30,2016-05-09T02:10:02.174+05:30
13,76fbfa31e8ab448aab7bb400d53d4241,87,2016-05-09T02:48:26.498+05:30,2016-05-09T02:49:54.373+05:30
14,76fbfa31e8ab448aab7bb400d53d4241,411,2016-05-09T02:50:37.863+05:30,2016-05-09T02:57:29.772+05:30
15,65fead1ec9ce6bf4980813ba9897bd0b,5,2016-05-09T02:48:55.882+05:30,2016-05-09T02:49:00.901+05:30
16,d4f72d9c0b77f9ddea09a47981ac1217,296,2016-05-09T02:33:06.160+05:30,2016-05-09T02:38:05.016+05:30
17,a17a0ac56072f9d9b3ae1a50cf309300,1079,2016-05-09T02:19:50.394+05:30,2016-05-09T02:37:52.907+05:30
18,c24dab75d5d9755ab1f60dff5ccc11b2,47,2016-05-09T02:04:32.822+05:30,2016-05-09T02:05:20.016+05:30
20,e355d6afc0053317c7d57e0592414f7c,517,2016-05-09T02:45:54.932+05:30,2016-05-09T02:54:37.734+05:30
24,e29ceeda490b26c54387ec153dc04776,97,2016-05-09T02:33:42.264+05:30,2016-05-09T02:35:23.295+05:30
25,eb34ce1330c20d068ae259c78b605212,331,2016-05-09T02:53:03.921+05:30,2016-05-09T02:59:06.921+05:30
26,89297b415cac9c6877cbc790ba633e12,16,2016-05-09T02:35:13.870+05:30,2016-05-09T02:35:30.557+05:30
27,5df87dfccef643c11e4002433d656803,14,2016-05-09T02:44:17.470+05:30,2016-05-09T02:44:31.848+05:30
28,686818a9518cc43cb3986e7996bdf389,350,2016-05-09T02:17:16.242+05:30,2016-05-09T02:23:51.563+05:30
30,d20c1ba47e6f20d211a9183eb9e406af,52,2016-05-09T02:33:27.589+05:30,2016-05-09T02:34:19.626+05:30
31,d20c1ba47e6f20d211a9183eb9e406af,68,2016-05-09T02:35:24.672+05:30,2016-05-09T02:36:32.700+05:30
32,f3e34459055e991c8a0d7ea1547a498f,32,2016-05-09T02:06:31.806+05:30,2016-05-09T02:07:04.391+05:30
33,8ca4421a1890ead26488141653dfa2a1,27,2016-05-09T02:05:32.521+05:30,2016-05-09T02:05:59.859+05:30
35,d5606921d676bef9eb27675773ab4f7c,100,2016-05-09T02:42:47.152+05:30,2016-05-09T02:44:36.505+05:30
